Title,Rating,Votes,Gross,Genre,Metascore,Certificate,Director,Year,Description,Runtime
Sen to Chihiro no kamikakushi,8.6,"747,148",$10.06M," Adventure, Family",96,U,Hayao Miyazaki,2001,"[""\nDuring her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.""]",125 min
The Lion King,8.5,"1,041,158",$422.78M," Adventure, Drama",88,U,Roger Allers,1994,"['\nLion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.']",88 min
Hotaru no haka,8.5,"272,469",," Drama, War",94,U,Isao Takahata,1988,['\nA young boy and his little sister struggle to survive in Japan during World War II.'],89 min
Kimi no na wa.,8.4,"259,975",$5.02M," Drama, Fantasy",79,U,Makoto Shinkai,2016,"['\nTwo strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?']",106 min
Spider-Man: Into the Spider-Verse,8.4,"510,227",$190.24M," Action, Adventure",87,U,Bob Persichetti,2018,"['\nTeen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.']",117 min
Coco,8.4,"492,081",$209.73M," Adventure, Comedy",81,U,Lee Unkrich,2017,"[""\nAspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.""]",105 min
WALL·E,8.4,"1,100,175",$223.81M," Adventure, Family",95,U,Andrew Stanton,2008,"['\nIn the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.']",98 min
Mononoke-hime,8.4,"388,925",$2.38M," Adventure, Fantasy",76,U,Hayao Miyazaki,1997,"[""\nOn a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.""]",134 min
Up,8.3,"1,029,395",$293.00M," Adventure, Comedy",88,U,Pete Docter,2009,"['\n78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.']",96 min
Toy Story 3,8.3,"826,193",$415.00M," Adventure, Comedy",92,U,Lee Unkrich,2010,"[""\nThe toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.""]",103 min
Toy Story,8.3,"979,994",$191.80M," Adventure, Comedy",95,U,John Lasseter,1995,"[""\nA cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.""]",81 min
